id,nombre,telefono,dia_pedido,zona,productos_habituales,pedido_promedio
1,Valentina González,+54 9 11 4253-5012,martes,Microcentro,fiambres y lácteos,23
2,Leandro Gómez,+54 9 11 6837-7912,lunes,Centro,bebidas,9
3,Maximiliano Medina,+54 9 11 2217-4257,viernes,Microcentro,congelados,15
4,Tomás Ruiz,+54 9 11 6827-5557,viernes,Centro,bebidas,24
5,Paula Romero,+54 9 11 4276-3547,martes,Sur,fiambres y lácteos,4
6,Ezequiel Fernández,+54 9 11 4940-6635,jueves,Centro,artículos de limpieza,16
7,Leandro Fernández,+54 9 11 5100-2291,jueves,Microcentro,congelados,13
8,Mateo Aguirre,+54 9 11 2569-1750,viernes,Sur,fiambres y lácteos,9
9,Martín Torres,+54 9 11 4277-8428,viernes,Sur,bebidas,13
10,Ramiro Martínez,+54 9 11 7490-5374,viernes,Microcentro,artículos de limpieza,4
11,Lautaro Acosta,+54 9 11 7973-5010,martes,Oeste,almacén,22
12,Melina Pérez,+54 9 11 7608-6313,viernes,Centro,bebidas,3
13,Gabriel Torres,+54 9 11 4193-2084,martes,Costa,artículos de limpieza,12
14,Florencia Suárez,+54 9 11 6089-7482,sábado,Microcentro,panificados,6
15,Santiago López,+54 9 11 4020-9830,martes,Costa,panificados,20
16,Carla Sosa,+54 9 11 3796-3266,jueves,Centro,fiambres y lácteos,5
17,Camila Suárez,+54 9 11 3310-7916,jueves,Oeste,panificados,21
18,Romina Flores,+54 9 11 4059-1188,viernes,Centro,artículos de limpieza,19
19,Brenda Gutiérrez,+54 9 11 7250-6573,lunes,Oeste,bebidas,16
20,Juan Pereyra,+54 9 11 7895-5315,sábado,Norte,congelados,5
21,Micaela Castro,+54 9 11 7234-9317,jueves,Norte,almacén,7
22,Leandro Gutiérrez,+54 9 11 6344-1009,jueves,Oeste,fiambres y lácteos,5
23,Daniela Núñez,+54 9 11 4519-4923,lunes,Costa,fiambres y lácteos,4
24,Belén Castro,+54 9 11 2566-9727,viernes,Norte,artículos de limpieza,17
25,Melina Díaz,+54 9 11 4171-9645,sábado,Oeste,bebidas,19
26,Mateo Aguirre,+54 9 11 4553-7537,sábado,Microcentro,almacén,16
27,Antonella Ruiz,+54 9 11 2991-5061,martes,Sur,fiambres y lácteos,20
28,Melina Pérez,+54 9 11 6820-4608,lunes,Microcentro,artículos de limpieza,3
29,Tomás Gómez,+54 9 11 2257-6413,lunes,Norte,almacén,23
30,Belén Martínez,+54 9 11 6417-3167,viernes,Costa,congelados,17
31,Agustina Molina,+54 9 11 5874-7669,martes,Centro,artículos de limpieza,15
32,Ramiro Álvarez,+54 9 11 5367-8651,sábado,Centro,artículos de limpieza,22
33,Martín Rodríguez,+54 9 11 5298-6559,viernes,Centro,bebidas,8
34,Mateo Acosta,+54 9 11 5675-3296,miércoles,Sur,panificados,9
35,Diego Ruiz,+54 9 11 6508-2604,lunes,Costa,fiambres y lácteos,4
36,Agustina Díaz,+54 9 11 5329-8956,miércoles,Oeste,fiambres y lácteos,7
37,Ezequiel González,+54 9 11 5198-5345,sábado,Oeste,almacén,15
38,Melina Herrera,+54 9 11 7885-8973,martes,Sur,bebidas,3
39,Leandro Rodríguez,+54 9 11 4569-1936,lunes,Oeste,congelados,18
40,Lautaro Rodríguez,+54 9 11 6160-2312,sábado,Centro,congelados,4
41,Agustina Torres,+54 9 11 2982-5033,jueves,Centro,congelados,4
42,Facundo Herrera,+54 9 11 6781-9565,miércoles,Sur,bebidas,23
43,Gabriel Pérez,+54 9 11 4175-7484,lunes,Microcentro,almacén,16
44,Gabriel Silva,+54 9 11 2594-1152,miércoles,Costa,fiambres y lácteos,4
45,Leandro Martínez,+54 9 11 6144-5345,lunes,Sur,fiambres y lácteos,9
46,Daniela Sánchez,+54 9 11 3292-8179,viernes,Microcentro,almacén,21
47,Antonella González,+54 9 11 7471-5905,sábado,Centro,bebidas,10
48,Valentina Núñez,+54 9 11 2876-3546,martes,Costa,bebidas,24
49,Rocío Martínez,+54 9 11 7631-5325,jueves,Sur,fiambres y lácteos,4
